"date","Plate.SN","rowi","coli","acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20180801","MW1207-21",1,1,"CCTE_Shafer_MEA_dev_AB",1475812,0.03,22652,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,1,"CCTE_Shafer_MEA_dev_LDH",1475812,0.03,1.18746666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,2,"CCTE_Shafer_MEA_dev_AB",1475812,0,22648,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,2,"CCTE_Shafer_MEA_dev_LDH",1475812,0,1.13906666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,3,"CCTE_Shafer_MEA_dev_AB",1475812,0.1,22015,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,3,"CCTE_Shafer_MEA_dev_LDH",1475812,0.1,1.16316666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,4,"CCTE_Shafer_MEA_dev_AB",1475812,0.3,22781,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,4,"CCTE_Shafer_MEA_dev_LDH",1475812,0.3,1.05106666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,5,"CCTE_Shafer_MEA_dev_AB",1475812,1,22460,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,5,"CCTE_Shafer_MEA_dev_LDH",1475812,1,1.13606666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,6,"CCTE_Shafer_MEA_dev_AB",1475812,3,22126,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,6,"CCTE_Shafer_MEA_dev_LDH",1475812,3,0.998766666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,7,"CCTE_Shafer_MEA_dev_AB",1475812,10,24805,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,7,"CCTE_Shafer_MEA_dev_LDH",1475812,10,1.09726666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,8,"CCTE_Shafer_MEA_dev_AB",1475812,30,26136,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",1,8,"CCTE_Shafer_MEA_dev_LDH",1475812,30,1.16776666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,1,"CCTE_Shafer_MEA_dev_AB",1475816,0.03,21010,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,1,"CCTE_Shafer_MEA_dev_LDH",1475816,0.03,1.20126666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,2,"CCTE_Shafer_MEA_dev_AB",1475816,0,21882,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,2,"CCTE_Shafer_MEA_dev_LDH",1475816,0,1.27376666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,3,"CCTE_Shafer_MEA_dev_AB",1475816,0.1,20272,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,3,"CCTE_Shafer_MEA_dev_LDH",1475816,0.1,1.08826666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,4,"CCTE_Shafer_MEA_dev_AB",1475816,0.3,21362,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,4,"CCTE_Shafer_MEA_dev_LDH",1475816,0.3,1.14296666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,5,"CCTE_Shafer_MEA_dev_AB",1475816,1,21952,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,5,"CCTE_Shafer_MEA_dev_LDH",1475816,1,1.07846666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,6,"CCTE_Shafer_MEA_dev_AB",1475816,3,21920,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,6,"CCTE_Shafer_MEA_dev_LDH",1475816,3,1.18096666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,7,"CCTE_Shafer_MEA_dev_AB",1475816,10,22609,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,7,"CCTE_Shafer_MEA_dev_LDH",1475816,10,0.993266666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,8,"CCTE_Shafer_MEA_dev_AB",1475816,30,23325,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",2,8,"CCTE_Shafer_MEA_dev_LDH",1475816,30,1.04826666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,1,"CCTE_Shafer_MEA_dev_AB",1475817,0.03,20342,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,1,"CCTE_Shafer_MEA_dev_LDH",1475817,0.03,1.15576666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,2,"CCTE_Shafer_MEA_dev_AB",1475817,0,21103,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,2,"CCTE_Shafer_MEA_dev_LDH",1475817,0,1.13326666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,3,"CCTE_Shafer_MEA_dev_AB",1475817,0.1,19547,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,3,"CCTE_Shafer_MEA_dev_LDH",1475817,0.1,0.973166666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,4,"CCTE_Shafer_MEA_dev_AB",1475817,0.3,21272,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,4,"CCTE_Shafer_MEA_dev_LDH",1475817,0.3,1.00186666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,5,"CCTE_Shafer_MEA_dev_AB",1475817,1,22312,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,5,"CCTE_Shafer_MEA_dev_LDH",1475817,1,1.11396666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,6,"CCTE_Shafer_MEA_dev_AB",1475817,3,21117,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,6,"CCTE_Shafer_MEA_dev_LDH",1475817,3,0.956266666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,7,"CCTE_Shafer_MEA_dev_AB",1475817,10,23194,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,7,"CCTE_Shafer_MEA_dev_LDH",1475817,10,1.09226666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,8,"CCTE_Shafer_MEA_dev_AB",1475817,30,23664,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",3,8,"CCTE_Shafer_MEA_dev_LDH",1475817,30,1.00046666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,1,"CCTE_Shafer_MEA_dev_AB",1475818,0.03,20199,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,1,"CCTE_Shafer_MEA_dev_LDH",1475818,0.03,1.06216666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,2,"CCTE_Shafer_MEA_dev_AB",1475818,0,21403,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,2,"CCTE_Shafer_MEA_dev_LDH",1475818,0,1.18646666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,3,"CCTE_Shafer_MEA_dev_AB",1475818,0.1,20401,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,3,"CCTE_Shafer_MEA_dev_LDH",1475818,0.1,0.938866666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,4,"CCTE_Shafer_MEA_dev_AB",1475818,0.3,19953,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,4,"CCTE_Shafer_MEA_dev_LDH",1475818,0.3,1.03786666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,5,"CCTE_Shafer_MEA_dev_AB",1475818,1,20995,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,5,"CCTE_Shafer_MEA_dev_LDH",1475818,1,1.00746666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,6,"CCTE_Shafer_MEA_dev_AB",1475818,3,23269,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,6,"CCTE_Shafer_MEA_dev_LDH",1475818,3,1.03096666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,7,"CCTE_Shafer_MEA_dev_AB",1475818,10,22923,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,7,"CCTE_Shafer_MEA_dev_LDH",1475818,10,1.06086666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,8,"CCTE_Shafer_MEA_dev_AB",1475818,30,22890,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",4,8,"CCTE_Shafer_MEA_dev_LDH",1475818,30,0.887866666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,1,"CCTE_Shafer_MEA_dev_AB",1475820,0.03,20010,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,1,"CCTE_Shafer_MEA_dev_LDH",1475820,0.03,1.23906666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,2,"CCTE_Shafer_MEA_dev_AB",1475820,0,21251,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,2,"CCTE_Shafer_MEA_dev_LDH",1475820,0,1.08876666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,3,"CCTE_Shafer_MEA_dev_AB",1475820,0.1,21003,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,3,"CCTE_Shafer_MEA_dev_LDH",1475820,0.1,1.18026666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,4,"CCTE_Shafer_MEA_dev_AB",1475820,0.3,20037,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,4,"CCTE_Shafer_MEA_dev_LDH",1475820,0.3,1.01266666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,5,"CCTE_Shafer_MEA_dev_AB",1475820,1,21002,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,5,"CCTE_Shafer_MEA_dev_LDH",1475820,1,1.22406666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,6,"CCTE_Shafer_MEA_dev_AB",1475820,3,21126,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,6,"CCTE_Shafer_MEA_dev_LDH",1475820,3,1.20756666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,7,"CCTE_Shafer_MEA_dev_AB",1475820,10,22601,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,7,"CCTE_Shafer_MEA_dev_LDH",1475820,10,1.18016666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,8,"CCTE_Shafer_MEA_dev_AB",1475820,30,21573,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",5,8,"CCTE_Shafer_MEA_dev_LDH",1475820,30,1.10306666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,1,"CCTE_Shafer_MEA_dev_AB",1475823,0.03,20826,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,1,"CCTE_Shafer_MEA_dev_LDH",1475823,0.03,1.22006666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,2,"CCTE_Shafer_MEA_dev_AB",1475823,0,18473,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,2,"CCTE_Shafer_MEA_dev_LDH",1475823,0,0.863066666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,3,"CCTE_Shafer_MEA_dev_AB",1475823,0.1,21404,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,3,"CCTE_Shafer_MEA_dev_LDH",1475823,0.1,1.13036666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,4,"CCTE_Shafer_MEA_dev_AB",1475823,0.3,21473,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,4,"CCTE_Shafer_MEA_dev_LDH",1475823,0.3,1.20366666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,5,"CCTE_Shafer_MEA_dev_AB",1475823,1,20340,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,5,"CCTE_Shafer_MEA_dev_LDH",1475823,1,1.12106666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,6,"CCTE_Shafer_MEA_dev_AB",1475823,3,23937,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,6,"CCTE_Shafer_MEA_dev_LDH",1475823,3,1.25156666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,7,"CCTE_Shafer_MEA_dev_AB",1475823,10,22259,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,7,"CCTE_Shafer_MEA_dev_LDH",1475823,10,1.18616666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,8,"CCTE_Shafer_MEA_dev_AB",1475823,30,22053,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-21",6,8,"CCTE_Shafer_MEA_dev_LDH",1475823,30,1.35506666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",0,"Fungal contamination"
"20180801","MW1207-22",1,1,"CCTE_Shafer_MEA_dev_AB",1475812,0,21838.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,1,"CCTE_Shafer_MEA_dev_LDH",1475812,0,1.18046666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,2,"CCTE_Shafer_MEA_dev_AB",1475812,0.03,21883.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,2,"CCTE_Shafer_MEA_dev_LDH",1475812,0.03,1.13456666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,3,"CCTE_Shafer_MEA_dev_AB",1475812,0.1,23001.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,3,"CCTE_Shafer_MEA_dev_LDH",1475812,0.1,1.36826666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,4,"CCTE_Shafer_MEA_dev_AB",1475812,0.3,23711.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,4,"CCTE_Shafer_MEA_dev_LDH",1475812,0.3,1.12146666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,5,"CCTE_Shafer_MEA_dev_AB",1475812,1,26500.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,5,"CCTE_Shafer_MEA_dev_LDH",1475812,1,1.08366666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,6,"CCTE_Shafer_MEA_dev_AB",1475812,3,24174.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,6,"CCTE_Shafer_MEA_dev_LDH",1475812,3,0.970666666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,7,"CCTE_Shafer_MEA_dev_AB",1475812,10,25245.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,7,"CCTE_Shafer_MEA_dev_LDH",1475812,10,0.962066666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,8,"CCTE_Shafer_MEA_dev_AB",1475812,30,26410.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",1,8,"CCTE_Shafer_MEA_dev_LDH",1475812,30,0.991066666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,1,"CCTE_Shafer_MEA_dev_AB",1475816,0,22170.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,1,"CCTE_Shafer_MEA_dev_LDH",1475816,0,1.07726666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,2,"CCTE_Shafer_MEA_dev_AB",1475816,0.03,25724.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,2,"CCTE_Shafer_MEA_dev_LDH",1475816,0.03,1.29796666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,3,"CCTE_Shafer_MEA_dev_AB",1475816,0.1,20572.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,3,"CCTE_Shafer_MEA_dev_LDH",1475816,0.1,1.23606666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,4,"CCTE_Shafer_MEA_dev_AB",1475816,0.3,21710.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,4,"CCTE_Shafer_MEA_dev_LDH",1475816,0.3,1.13766666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,5,"CCTE_Shafer_MEA_dev_AB",1475816,1,21276.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,5,"CCTE_Shafer_MEA_dev_LDH",1475816,1,1.11286666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,6,"CCTE_Shafer_MEA_dev_AB",1475816,3,22551.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,6,"CCTE_Shafer_MEA_dev_LDH",1475816,3,1.10796666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,7,"CCTE_Shafer_MEA_dev_AB",1475816,10,22694.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,7,"CCTE_Shafer_MEA_dev_LDH",1475816,10,1.07716666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,8,"CCTE_Shafer_MEA_dev_AB",1475816,30,24013.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",2,8,"CCTE_Shafer_MEA_dev_LDH",1475816,30,1.05576666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,1,"CCTE_Shafer_MEA_dev_AB",1475817,0,22337.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,1,"CCTE_Shafer_MEA_dev_LDH",1475817,0,1.18936666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,2,"CCTE_Shafer_MEA_dev_AB",1475817,0.03,22240.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,2,"CCTE_Shafer_MEA_dev_LDH",1475817,0.03,1.09886666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,3,"CCTE_Shafer_MEA_dev_AB",1475817,0.1,20665.3333333333,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
"20180801","MW1207-22",3,3,"CCTE_Shafer_MEA_dev_LDH",1475817,0.1,1.11356666666667,"20180801_ON PFAS G1_1 Calculations.xlsx",1,""
