date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20170809,MW1146-32,all,F7,0,low activity,"mea, LDH, CTB"
20170809,MW1146-34,all,E7,0,low activity,"mea, LDH, CTB"
20170809,MW1146-34,all,F6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,A6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,B6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,C6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,D6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,E6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,F6,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,all,F7,0,low activity,"mea, LDH, CTB"
20170816,MW1147-4,12,A1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A7,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,A8,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B7,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,B8,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C7,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,C8,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D7,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,D8,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E7,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,E8,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F1,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F2,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F3,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F4,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F5,0,misdosed on DIV 9,"CTB, LDH"
20170816,MW1147-4,12,F8,0,misdosed on DIV 9,"CTB, LDH"
20171011,MW1147-16,all,F1,0,low activity,"mea, LDH, CTB"
20170809,MW1146-29,all,F7,0,low activity,"mea, LDH, CTB"
20161109,MW1144-20,all,B4,0,contamination,"mea, LDH, CTB"
20170222,MW1146-3,all,A1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,A8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,B8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,C8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,D8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-3,all,F8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,A8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,B8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,C8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,D8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F4,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-4,all,F8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,A8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,B8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,C8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,D8,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F1,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F2,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F3,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F5,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F6,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F7,0,not part of data set,"mea, LDH, CTB"
20170222,MW1146-5,all,F8,0,not part of data set,"mea, LDH, CTB"
